Hotel_Address,Hotel_Name,lat,lng
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,Hotel Arena,52.36057589999999,4.9159682999999985
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,K K Hotel George,51.49188779999999,-0.1949706
1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,Apex Temple Court Hotel,51.5137335,-0.1087512
1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,The Park Grand London Paddington,51.5142184,-0.1809032
1 3 Rue d Argentine 16th arr 75116 Paris France,Monhotel Lounge SPA,48.87434810000001,2.2897334
1 5 Passage Ruelle 18th arr 75018 Paris France,Kube Hotel Ice Bar,48.88657,2.3588332000000003
1 8 Russell Square Camden London WC1B 5BE United Kingdom,The Principal London,51.5226217,-0.1251602
1 Addington Street Lambeth London SE1 7RY United Kingdom,Park Plaza County Hall London,51.5014001,-0.1160092
1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,One Aldwych,51.5117832,-0.1194172
1 Avenue Carnot 17th arr 75017 Paris France,Splendid Etoile,48.874707,2.2936761000000003
1 Bis Rue De Vaugirard 6th arr 75006 Paris France,Hotel Trianon Rive Gauche,48.8487675,2.3410376
1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,InterContinental London Park Lane,51.50386320000001,-0.1504132
1 Impasse Marteau 18th arr 75018 Paris France,Novotel Suites Paris Nord 18 me,48.9015941,2.3597783
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,Grand Royale London Hyde Park,51.5109945,-0.18634170000000005
1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,Milestone Hotel Kensington,51.5020425,-0.1866541
1 Kings Cross Road Islington London WC1X 9HX United Kingdom,Crowne Plaza London Kings Cross,51.5263854,-0.1136042
1 Place De La Sorbonne 5th arr 75005 Paris France,Select Hotel,48.84830529999999,2.3425596
1 Place Vend me 1st arr 75001 Paris France,H tel De Vend me,48.8668564,2.3286339
1 Rue De Libourne 12th arr 75012 Paris France,Pullman Paris Centre Bercy,48.8315204,2.3870797
